
Entry	g_ordered-locus	g_name	PDB
A0A0C4DGD8		DGLUCY	
A0A1U9X8M5			
A0A346LZT8		COX2	
Q5D0K5		DICER1	
D3DSF7		SON	
Q4V780		VCX2	
K7EL40		SEPTIN9	
A0A087WZN3		DHRS11	
I3L258		CORO7	
A0A2R8YEZ4		POLR1C	
P78534		WARS1	
B4DJK0		SRSF5	
A0A024R6G5		TCL1A	
K9JA46		EL52	
Q4ZF72		COX1	
B8ZZ07		RHBDF1	
Q86SV2		TMEM37	
A0A024R297		SPIN	
X5DNA9		SEPT5	
A0A024RAM0		TNPO1	
A0A024R4F9		FBXO44	
V9HW71		HEL-S-107	
E5KN55			
A0A0A1I7H6		HLA-DRB1	
C9JFH2		SULT6B1	
Q6PK65		PCSK7	
A0A024F9R7		HLA-DRB1	
B3KQ70		MNS1	
A0A0A0MQT0		RBP1	
B4DY08		HNRNPC	
Q2M1Z1		MLH3	
F1AZ87		COX2	
Q6LCZ7		CXCR2	
F8WB75		RTP5	
A0A024R1Y6		PALM	
A8K8X9			
A0A024RA32		C1GALT1	
X6R344		MICB	
J3KRU5		SAP30BP	
A0A024R9B7		COX6C	
Q5JTV1		GMEB2	
A0A3F2YNW3		C2orf15	
A0A0A0MT79		TLE4	
Q53FE8			
A6ZHA9		COX2	
A0A024R3E4		YAP1	
A6YXV0		COX2	
J3QKN1		FXYD6	
B8ZZ56		ZFAND2B	
A0A024QZ59		TRAF4	
Q8WY65			
G3V1W1		C12orf73	
A8MVM8		NDUFA3	
K7EL07		TOP3A	
Q4W5S3		SPOCK3	
F8VZW6		SMARCC2	
B4DT40		PARPBP	
E5RIG2		CSMD1	
A5D6V7		CHIA	
A0A024R161		DNAJC25-GNG10	
A0A024R4K9		TMEM120A	
B3KP82			
G3V238		EEF1AKMT2	
A0A024R5R5		GABPB2	
A0A3B3ITM1		ITPR1	
A0A1B0GVX4		CCDC200	
A0A024RBA3		MBD6	
A0A024R2A4		NEDD4L	
X6R368		FAAP24	
B9EH08		OR52E4	
Q2M2Z8		ARAP2	
Q708E9		MYB	
Q5I0G2		PRL	
A0A0C4DGV4		LAMTOR5	6B9X;
B4DLJ1		USF2	
H9QNT9		COX3	
J3KNB3		DAPP1	
B4DK27			
B3KMI3		SPG20	
B1APY9		ELAVL4	
E9PJT1		PICALM	
C7FH94		CYTB	
A0A024R890		COQ4	
B7Z6U3		ACP2	
B2RCP4		IHPK2	
A0A140VJH9		DYNLRB2	
Q5VVR7		TCF7L2	
A0A286YEW5		OR8A1	
A0A024RBN9		RAD9B	
A0A024RD41		RAB23	
Q9UEL6		MPZL1	
M0QZM6		BCL2L12	
Q8N7D3		LOC389603	
B3KTP4		ApoL6	
D6RCT1		RBM47	
D6RD47		RPS23	
G3V1D8		LRRC24	
A0A0A0MTI6		ELOVL5	
Q5TAL4		SNRPC	
Q5Y191		AURKC	
Q6P2R3		CEP57L1	
Q53QU8		TIEG2	
A0A1C9KQ41		Cytb	
B1H0U8		TSHZ2	
B2XIR3		COX2	
B2C6G4		RP11-479E16.1	
A0A5C2G5E9			
Q6ICJ4		GSTT2B	
J3KND1		SAAL1	
D3DS13		RNASE7	
V9JPX9		ND2	
A0A024RD01		TBN	
E7EQB3		TSEN34	
A0A024R6D7		JDP2	
A0A0U1WNF5		KIR3DL2	
J3QL80		NOD2	
A0A024RD20		FLJ43093	
A0A5C2GUE5			
A0A3S6RG26		HLA-C	
E9KY20		PAX9	
C9J3P7		POPDC2	
A0A0U3FYV6		SOX2	
A0A2L1K0H9		CYP2D6	
B7WPE2		EML3	
A0A024R2F3		TATDN2	
Q7YCH0		CYTB	
H0YCP8		PUF60	
A0A5C2GFD0			
B4DMQ7		TP53I3	
A0A590UJ69		CCDC30	
A0A2I8B349		HLA-B	
Q6R5J7		EPB41L2	
A0A0S2Z3G3		SLC25A10	
A0A4D6GI32		COMT	
A0A087WWU9		SRP19	
Q14XD3			
Q96SH7		IL20RA	
A0A5C2GCC0			
A0A0S2Z4U0		RIN1	
A0A024RB00			
A4GWV7		ND1	
Q31629			
A0SDD8		CLDN16	
A0A024R1T9		ACLY	
Q6ICS9		HSPB3	
D3DVH1		SDHC	
Q6FGV9		PMVK	
A0A1S5SIJ0		ATP6	
E5RFV9		CARD8	
A8K2L3		C9orf152	
Q6ZUA6			
A0A481MTA8			
K9R3X6		CYTB	
A0A2L1K0F9		CYP2D6	
A0A218NI16		HLA-B	
A0A1W1B5W5		HLA-A	
D9MZZ6		COX1	
D6W5H5		ALMS1	
D1MGQ2		HBA2	
D3DXC9		SHMT1	
Q542Y6		PLA2G12A	
B4DDQ3		DNM1L	
B8YIA5			
V9N7M1		CYTB	
A0A5C2GRQ9			
B1AH72		PVALB	
Q6IBH2		GPR19	
B3KNG9			
D2E450		PRDM9	
A0A023R397		CYTB	
Q4F0J1		CYTB	
D9N2U4		IRGM	
A0A0N7APK3		ATP6	
A0FJ20		F8	
V9QC17		MC1R	
A0A126GVL0		OR5L1	
A0A0S2Z3Q8		FXN	
A0A0G2JP41		TSBP1	
A0A4Y5ULH0		HLA-B	
Q96N05			
Q5VW28		NFIB	
Q2VF45		F8	
A0A024R3W1		CHRM3	
A0A5C2FWH6			
A0A0E3X8V0		ND5	
A0A0S2Z5W3		MIPOL1	
H6WJ42		ND2	
A0A096LNU3		AQP7	
Q8N167		PBR	
I3ZN89		HLA-C	
Q96E20		CD99L2	
A0A5C2GFR4			
Q8WTQ2		DMD	
B4DDK0			
Q5TB13		CIART	
Q9P1E7			
Q3T1D4		RAET1E	
X5BF80		CYTB	
A0A1U9X8D7			
A0A024R115		FAM113B	
A0A0C4DGQ3		ZNF556	
H9NIM2		NR2C1	
F5H4Z7		MMAB	
G9LAZ4		COX2	
B5MBZ3		INPP5J	
A3RJH1		DDX1	
A0A024RCS3		DAXX	
A0A2H4QWV3		CYP2C9	
H0YH69		ETNK1	
A0A024RBC5		GNS	
G3V3P8		ASB2	
A0A5H2UEZ4		HLA-A	
Q5VVP7		CRP	
A0A0X9R4E0		CD86	
M0QXD4		DDX49	
A8YXX5		PIG60	
A0A024R7L4		C19orf4	
A0A0U5J7Q1		TNLG7A	
A0A516UVP7		HLA-DPA1	
Q71RC1			
W8W3P5		MGRG2	
A0A068BST3		COX2	
Q14172		DMD	
Q2L6B3		UGRP1	
F5H120		FKBP4	
Q2VF39		TAZ	
E9KL26		SERPING1	
A0A024R2L6		RPSA	
B1AMR4		ARHGEF9	
I3L3S9		CLUAP1	
G3V1U3		METAP2	
F6RRE2		MTA3	
Q5SYF9		HAUS6	
A0A0A0MSE8		UBE2C	
H7BXK7		SERPINB8	
A0A5F9Z9Y6			
J3KNR6		PTDSS1	
I3L4H6		ZNF232	
A8MYV6		HIF1A	
A0A024R258		UBQLN1	
Q96LI1		CCDC13	
A0A0G2JPK4		SERPINA2	
F8WBP7		RANBP2	
A0A2R8Y787		TBCE	
A0A0A0PW35		CYTB	
A0A2R8Y495		SLC6A1	
H0Y2N6		CSNK1D	
F8LFY0		HLA-DQB1	
C9JW51		FAM107B	
V9K411		CYTB	
A0A059QJ22		COX1	
A0A087WVZ5		CYFIP1	
C9JVL0		SELENBP1	
H0Y9V8		GABRA2	
H0Y9E8		ERBIN	
Q2XNE6		CTSK	
A0A5C2G3U8			
H0Y8D1		PRSS1	
A0A5C2G6U2			
B4DH88			
B4DVS7			
H9PTY2		ND2	
Q4F200		ND5	
D9MZN6		ATP8	
Q5Y7B6		HLA-DRB1	
B3KWA3		ATE1	
B7ZB17		RPS6KA3	
L7RSM2		MAPK14	
Q2LH31		ATP6	
F8VZD7		MBD6	
A0A024QZZ1		BTN3A2	
A0A0G2JR58		MUC4	
A0A3G6V3P1		SMN2	
E5RFM2		CETN3	
A0A5C2FYM9			
A4ZL12		CYTB	
A0A024R8N5		DNAI2	
Q53FB0			
Q05CU4		CYP19A1	
C9JSI7		HYAL2	
B1NUN0		ND1	
V9J408		ND2	
A0A059RV36		ATP8	
A0A342LFY8		ND1	
A0A024R599		SLC3A2	
F8WCM9		TBX2	
Q53EL5		ZBED3	
H9R2Q7		CYTB	
A1DTS8		ND4	
V5JSZ5		ATP6	
H0Y9T9		SEC31A	
D3DT21		SEP15	
A0A5C2GGN1			
A0A059RM85		ND1	
Q709B0		TFEB	
B6ZCF8		RHCE	
I3Q4L9		ND1	
H6WIT7		ATP6	
B2CB26		ATP6	
A0A024QYU8			
Q68DJ4		DKFZp779F1429	
C9IZ88		CTNNA2	
C8YB23		ND5	
J3QRR4		NIP7	
A0N4Y6		Tcr-alpha	
C4PKX8		CYTB	
A0A173AD94		HLA-B	
A0SBU5		ATP8	
Q6WQV6		LTA	
E5KND7		GFM1	
B7SEZ7		DSPP	
Q15HJ6		CYTB	
Q14XI4			
B7ZGX6		DDX11L11	
A0A5C2G4G1			
C1KEN7		ARID1A	
A0A3B3ISE7		ATP5MG	
A0A5C2G9Q1			
S6CPZ8		HLA-DQB1	
H3BRD9		NUP93	
A0A0C4DGD7		CRNKL1	
C8YFB3		ATP6	
A0A0G2JJM0		C2	
B9EDU5		ATPase 6	
A0A5C2FXT4			
A0A2P9DTZ0		FOXM1	
G3V4C0		CLMN	
H3BV18		BCO1	
A0A3S6RFZ3		HLA-B	
A0A0S1S5W2		ATP6	
Q5JY01		TRMT11	
B8RF22		ND5	
A0A0S4T273		HLA-C	
B0EWF8		ND5	
A0A5C2GDV5			
C9D637		ATP6	
A0A286LDA9		HLA-A	
A0A5C2FXJ5			
Q4EWT1		ND4	
A0A2U3RUE0		HLA-B	
C9DF68		ND5	
G9LB95		ND1	
Q6KEI8		CFTR	
J3KP36		WASHC2C	
D6R6Z4		ND3	
A0A5C2G4J0			
Q15702		KIR3DL1	
A0A5C2FX70			
A0A1X9MIH6		CYTB	
A0A5C2FX63			
A0A1V0E3W5			
A0A024R0A0		MXRA8	
A0A075B719		CEP152	
X6R3L3		MOB3C	
A0A024R8L5		WIPI1	
A0A024RDB8		HPSE	
A0A024R7I8		IL27RA	
Q5XNR7		PARK2	
A0A0D9SG85		ELF1	
Q9BQU0		KIR3DL2	
A0A0G2JQZ3		SLC9A3	
X5DS90		CYTB	
D3DV53		S100A13	
A0A5C2GXS9			
Q6EXB0		HLA-A	
A0A2R8YGX0		GLI3	
C6K6I9		HLA-B	
Q7Z3N9		DKFZp686G1650	
A0A0N6YMJ0		ND5	
D3DPG2			
U3KQH5		NUP205	
Q9B2X5		ND1	
A0A024R1B6			
Q306D0		ND2	
M0QYG1		KHSRP	
A0A384MR29			
A0A5P8I434		HLA-A	
H0Y8S8		UBA6	
A0A5H2UHS0		HLA-DPB1	
F2WFX0		ND4	
A0A5H2US38		HLA-DQB1	
Q9NZ80			
A0A059QF83		COX1	
A0A0C4DGC1		CXCL14	
Q9UFL8		DKFZp434K028	
A0A1W1B5Q4		HLA-A	
A0A023QW57		ND1	
E9PQD9		BBS1	
U3KQR1		ADCY3	
H9QNZ6		ND6	
M0QYV1		BABAM1	
D7NT62		BMP3	
V9GY25		PFKP	
F1B6V4		ND2	
A0A1J0QLK0		ATP6	
H0YAZ8		MTSS1	
E2DEX2		CYTB	
D3DVL3		LOC388817	
J3KTA8		PYCR1	
G3V5S6		PPP1R36	
C9JZE2		PEX5L	
A0A1B0GTM2		AMT	
H3BUC1		FBXO22	
K7EPE1		SPATA32	
A0A286MCB8		HLA-DPB1	
A0A087X1C4		TPTE	
J3QRR0		VWA1	
A0A5C2GYQ3			
B4DST2			
A0A2R8Y7A1		CNKSR2	
R4GMM9		NXPH1	
H0YA65		LGI2	
H3BVD0		RPUSD1	
A0A059R1N5		COX1	
C9JQD8		ADORA2A	
A0A1S6M245		HLA-DRB1	
F8VRF7		PCED1B	
B7ZGX0		DDX11L1	
A0A4P2SSK7		HLA-DQB1	
H0YJG4		CHD8	
H0YN65		CHST14	
A0A158RFT8		ADIG	
J3KSN5		USH1G	
E9PRJ3		CD151	
H0YDR6		P2RX3	
R4GMW2		TTLL3	
K7ELV6		CIRBP	
C9J6X7		STK33	
E2QRM3		XPO5	
A0A1W2PP10		VPS35	
F8VNY2		PRIM1	
H7BZD4		ITSN2	
A0A2R8Y790		GSS	
H3BMM6		GGA2	
H0Y8V7		SEC31A	
A0A5H2UYS3		HLA-A	
C9JX21		RHOA	
Q5TCJ7		SEMA4A	
E9PJB5		COP1	
M0QY95		ZNF493	
D6RDH3		PACRGL	
J3KRK8		SMCHD1	
F6SA91		TRAF4	
I3L3Z3		SERPINF1	
A0A0B7NRZ9		HLA-C	
A0A087WVL2		MRTFA	
K7ERS5			
J3QL81		ENOSF1	
B7Z6B7			
E9PN68		EPS8L2	
B7Z885			
A0A494BZV4			
E7EQU2		DYNC1I2	
F8VQZ7		METAP2	
H0YHW3		COQ10A	
J3QR06			
A0A2R8YF34		GSS	
B0QYR8		GGA1	
B4DSU7			
A0A1B1CX50		HLA-DRB	
F6TR53		HS1BP3	
H7C5K4		CCDC80	
C9JJ39		STARD3NL	
I3L3Q5		ADCY7	
A0A0C4DFN9		CYP4A22	
E9PMZ2		PRMT1	
E5RHE2		MDM2	
F8VPC8		BTBD6	
C9JQV0		C7orf50	
I3L4B7		SGSH	
M0R252		ZFP36	
H0Y9U8		CCNB1	
F8VW94		THAP2	
A0A0G2JKZ4		TMBIM6	
E5RJN3		NCAPH2	
C9JGL9		SATB1	
G3V509		FUT8	
I3L4E5		ALDH3A1	
C9J5S6		GORASP1	
F8WF96		CDK14	
C9IZF0		SPICE1	
E9PPX2		FOSL1	
H7C575		ATP11B	
G3V4Z7		EXOC5	
H0YC14		HSF4	
H7C5R5		EIF2A	
A0A087WW66		PSMD1	
P78505			
E7ERQ4		MFSD8	
A0A087WVG8		NBPF11	
B4DUJ9			
B7WNT3		TMEM184A	
J3KT38		GRB2	
A0A5A4LMJ1		HLA-DRB5	
F5H1W2		MPHOSPH9	
A0A455JSH1		HLA-DRB1	
A0A3B3IU87		FANCC	
H0Y9C7		AGA	
A0A087WZQ5		MERTK	
D6RIX6		WDR41	
A0A455JXE5		HLA-DQB1	
I3L4Q5		NAA60	
D6RG08		ITGA2	
C9J5J4		LIN9	
D6RF36		PTPN20	
J3KRP2		PSMC5	
R4GND7		GOLGA2	
H0YFS2		SLC3A2	
E9PPI9		EXOSC4	
A0A2R8Y729		SPG7	
A0A5K1TT65		HLA-DRB2	
H7C2Y7		MYO1B	
F5GX35		GTF2H3	
G3V2K2		GABRA5	
D6RC24		GAK	
C9JUR7		NRCAM	
H7C450		CCDC142	
D6RGG1		PRKCZ	
E7EX84		MYH2	
M0QXB1		LIPE	
I3L2A7		KIAA0753	
K7EIK7		EML2	
C9JFI0		GAS2L1	
A0A218N062		HLA-DQB1	
F8VVR8		MYRFL	
H3BTW6		PHKG2	
U3KQ32		TP53I11	
J3KQT6		SH2D5	
E9PS77		BSDC1	
H3BU49		ARL2BP	
A0A494C184		CACNB2	
A2A2F0		RALGAPB	
C9JE51		LPP	
B4DUH2			
H3BQA9		STOML1	
H0YFB9		OLFM1	
F5H4F6		MARK2	
A0A0C4DFX5		OR51T1	
B4E086			
H3BPH2		GBP3	
R4GNF5		TCP11L1	
A0A3S6RHA0		HLA-DPB1	
H7C2J7		STK11IP	
A0A096LNJ4		ALG13	
Q5T398		EXO1	
Q5TG40		DMAP1	
E9PAL7		SSR1	
B0QYK8		APOL2	
H7BY91		RPL36A	
A0A2R8Y4N5		DNAJC21	
C9IZR6		CDCA7L	
H0YAR6		PCNX2	
I3L1H4		GPS2	
E7EV12		IPO5	
A0A1W2PR93		NANOGNB	
J3KSQ3		WSB1	
E9PK85		RRAS2	
A0A024RBF5		KITLG	
S4R3S6		ZSWIM8	
A0A024R5H7		PLEKHB1	
A0A1P8W1R0		HLA-DRB1	
A0A5F9ZH02			
H7C5M6		ABCA2	
E7EUS7		SLC1A3	
D6REZ3		CCNI	
J3KRZ8		TEX2	
A0A075B6W1		TRDJ3	
E9PKL5		FOSL1	
H7C070		KIAA1109	
C9J8Z4		IGSF8	
A0A4P2SU66		HLA-DRB1	
H0YCB2		NDUFS8	
E5RH73		NSG2	
F8VZA2		LETMD1	
X5D7Q6		VIPR2	
B4DL95			
F8WCV2		CHEK2	
A0A059QI72		COX2	
A0A5H2UZJ6		HLA-C	
M0QXR9		C19orf44	
H0Y7B8		GOLGA2	
I3L0Z0		KDM6B	
I3L3Y9		GPS2	
E9PN79		TTC17	
A0A0A0MSX6		PIGV	
K7EQX6		FIZ1	
H3BRX6		GBP3	
D6RHF3		UGT2A1	
C9JQK5		COPS6	
A0A3B3ISQ8		CXorf58	
B4DG76			
A0A3B3ITE7		KDM5B	
C9J6L4		CPVL	
I3L2H6		HSD3B7	
H7C3U9		PRODH	
A0A343RZ43		COX3	
F8W123		BRF1	
A0A5F9ZH11		BRPF1	
D6RHW8		RNF44	
A0A0J9YYC8		PRSS2	
C9J4M6		POLR2B	
H3BTX1		DDX19B	
A0A3S6RJ93		HLA-DQB1	
A0A0S2Z5J9		CDK5RAP1	
H3BS86		STUB1	
F8VS60		LETMD1	
A0A0S2Z5P6		DIABLO	
A6NAM9		COX1	
F8WCK0		NAA50	
A9XTE5			
C9IZE6		NECTIN3	
M0QYL9		SUPT5H	
B4DEY4			
H0YBP5		EIF3E	
F8VS40		HVCN1	
H0YLC5		POU2F3	
R4GNA1		MICOS10-NBL1	
Q5JX57		CPNE1	
K7EMI5		ZNF180	
A0A5H2UZD2		HLA-B	
A8K8F9			
E5RFL2		CA1	
A0A5A4LMQ1		HLA-DPB1	
A0A1W2PPE7		IQSEC2	
A0A140VK85			
H3BNE3		BLOC1S6	
C9K079		ZSCAN25	
A0A4P2ST31		HLA-DRB1	
A0A0U1RRG6		SMARCA2	
H0YNJ3		PPP2R5C	
C9JFU4		TMC4	
H0YAB8		TGFBI	
C9JWZ9		TTLL3	
K7EQ26		EFTUD2	
A0A059QIM3		COX1	
R9Y251		COX1	
A0A0A0MS57		MS4A14	
B4DXX1			
W8D226		COX1	
F5GX64		IGHMBP2	
F8WAY8		KIDINS220	
M0R274		FKRP	
A0A0S2Z4B7		SDHC	
J3QKZ9		EIF4A1	
A0A0C4DGJ5		PTCH1	
A0A494C0J0		NUP214	
A0A3B3ITJ3		KDM5B	
V9GYA9		BCO2	
H0YIY2		STAT6	
A0A348AXX1		HLA-DQB1	
F8W6C1		SPTBN1	
Q5TBH1		NEK6	
Q5VZT6		SAXO1	
A0A343UEZ0		COX1	
E9PDL4		ICA1	
A0A087X2E5		IDH3B	
C9K0P5		GPD1L	
A0A2R8Y5D3		POLR1C	
K7EP30		TPGS2	
D1CS20		TLR10	
A0A0J9YW26		EPB41L3	
H7C3Y5		SPEG	
A0A5H2UDV6		HLA-DQB1	
E9PNY6		PUS3	
A0A087WUR2		NBPF14	
H0YFU5		RFXANK	
H0YDJ3		PRPF4B	
A0A344AJ69		COX1	
H3BQD8		LAT	
A0A023RF30		CYTB	
R4GN85		NIN	
E9PNR1		OSBPL9	
A0A126GVW2		OR2A4	
A0A087WWI8		CCDC113	
A2A2L5		RTF2	
Q6LER6			
U3KQD5		RBM4B	
C9JHZ8		HDLBP	
E7EQ01		CASP8	
F5H7B4		ASB8	
H3BNH4		ADGRG1	
U3N834		KCNK2	
A0A087X1M7		FMR1	
Q5T586		FAM219A	
C9JMU2		WAC	
M0R139		ZNF766	
K7ERD4		RANBP3	
J3KN38		CLNS1A	
C9JIP9		CCR8	
I3L184		VPS53	
E9PR00		CTSB	
A0A0A1IBB2		HLA-DRB1	
A0A0C4DG17		RPSA	
Q32Q26		ANTXR2	
A0A087WXJ6		MBTPS1	
Q4VAX2		SS18	
J3KSZ5		DCXR	
Q5T0Q6		DPYSL4	
D6RIT8		EME1	
K7EJM9		LDLRAD4	
H7C266		P2RX6	
A0A5B8IRV8		HLA-DRB1	
K7EMK7		TLE2	
A0A455JU26		HLA-DRB1	
H7C0C2		PRRG3	
A0A024R4H5		DFFA	
X1WI33		DYDC1	
K7ES25		PEPD	
F8WDQ3		CAPN7	
H0YML3		CIB2	
A0A4P8JBL0		HLA-DPA1	
D6RB46		RNF175	
C9JLJ1		TBL1XR1	
A0A059QF37		COX1	
E7EVF9		ZBTB21	
G3V5T1		SDR39U1	
D6RF09		PAM	
H3BQJ4		NDRG4	
Q5VY60		HAUS6	
E9PKB7		TEAD1	
A0A343JRN0		COX2	
A0A494C010		ZNF875	
H7BYW9		RERE	
B2R787			
E9PKN8		TDRKH	
E9PMA1		SYVN1	
J3QQK7		CABYR	
F8VNP8		CPSF6	
A0A0B4J2B9		TUBE1	
K7EPD6		ERC1	
E5RK02		EXTL3	
X6RB39		MAP2K3	
T2HM13		coxI	
C9J8Q1		NFU1	
U3MA12		COI	
A0A5P9RM27		COX1	
A0A5H2UIF9		HLA-B	
C9JAI6		CMTM5	
M0QYH9		IL4I1	
V9GYY9			
Q05CV3		C8B	
E7EW47		MUC4	
A0A0U1RRK1		MICU1	
M0QZN2		RPS5	
E7EVX2		GOLGA4	
A0A1V0E3M5		HLA-DMA	
H7C2W6		P3H1	
A0A286YF95		MAPK10	
A0A087WVZ9		POLR2E	
A0A059RUL2		COX1	
H7BYQ2		WDR60	
H0YHD1		MBD6	
A0A0G4PZH2		HLA-DQB1	
F5GWP8		KRT17	
H0YBE4		GPX3	
A0A024R0T8		APOC1	
E5RIX3		NCALD	
Q5T6L5		ASS1	
F5GYM3		QKI	
K7ESF6		ZNF763	
H7C040		AGR3	
J3QKN5		MBP	
H7C0G7		NHEJ1	
H7C3X7		TMEM44	
A0A3B3IRY1		FOXP1	
A0A024R872		C9orf88	
F8WB17		SGO1	
E9PQZ4		CAPN11	
X1WI27		PIGV	
D6RE97		FAM13B	
Q5T6A0		CEP57L1	
H7C2M1		SCLY	
B1AKB1		TFEB	
E9PR87		SLC43A1	
A2RRA7		NIPBL	
C9JV50		SACM1L	
B4DED7			
Q5JR82		TMOD4	
X6RK96		TRMT1L	
S4R464		MNX1	
J3KTL4		PFAS	
M0R2Q9		ZNF414	
C9JQ12		GTF3C2	
F8W9N7		CAPZA2	
E7EMU0		MAGEA3	
A0A0A0MTD9		PTPN22	
C9JTH1		IL36RN	
H0YE53		SERGEF	
E5RJI6		BIN3	
M0QYH3		KHSRP	
H0YET5		EFEMP2	
A0A087WYK2		WNK3	
H0YBA4		WWP1	
D8KXX0		CDC25A	
K7EQS3		KCTD15	
F5GZQ3		HADHB	
E5RJW7		TGS1	
F5GZ83		SYNE1	
A0A140VJT2			
K7ESG1		TNPO2	
C9JEX8		ELP6	
A0A087X172		OR4C3	
C9JT62		HDLBP	
Q13344			
Q5JS36		PROSER1	
H0YHX9		NACA	
C9JEJ2		PCYT1A	
A0A024R9G0		POLR2K	
A0A3S6RGN6		HLA-DRB1	
A0A494C114		NRG1	
H7BZU7		MARCHF7	
X5D795		BZRAP1	
H0YDS6		VWA3B	
A0A384N679			
H3BQS5		DPEP1	
C9JH55		MSH6	
C9JDH9		STK25	
E5RIV2		CEP57L1	
F8VQE1		LIMA1	
F8VVB5		NAP1L1	
Q5JT55		TBX15	
H0Y8U9		HK3	
A0A1B0GXG3		NCALD	
H0YJG7		AHSA1	
X6RLY7		CACNA2D4	
C9JD04		ZIC4	
E9PI60		BRPF3	
A0A2R8Y7V8		NFIB	
A0A1B0GTN7		CACNA1A	
A0A024RAI1		ACTR3	
E9PBY2		DAZ2	
C9IZK7		WDR43	
A0A0A0MSR9		DAZ1	
C9J4Q3		MPP6	
H0Y4A2		TRDMT1	
B8ZZI4		CCDC150	
F8VXR6		RPL18	
D6RDY8		TMEM175	
H0YMR6		SLTM	
B7WPN9		ATP13A4	
H3BV55		PMM2	
E9PPE2		MSANTD2	
A0A0A0MRW2		FAM219A	
E5RFY1		GLI4	
H7C366		GART	
A0A087WXU1		MITF	
H0YKS0		PSMA4	
C9JLL5		SATB1	
E9PI20		DIS3L	
D3YTG3		ABI3BP	
H0YLB1		IL16	
A0A087WSY5		CPB2	
H7C4J3		SLC37A3	
F8WEP3		ADAMTSL1	
E5RGF7		GABRP	
K9J7I2			
H7C2X6		CATSPER2	
F8VWY1		BRF1	
C9J2L2		ZBTB11	
H7BZW4		PLB1	
J3KRR8		UTP6	
B7Z752			
F8VX13		PFKM	
G3V4W4		GNPNAT1	
H3BR26		ZNF688	
E3W982		HELQ	
E9PHM6		DST	
I3L326		HGS	
M0R3E6		INSR	
B2R4Q0			
E9PRH6		APLF	
K7ELY1		GRN	
E9PIK4		TP53I11	
E9PLV2		MSANTD4	
C9JR71		FAM234A	
A0A0U5J4P8		TNLG1D	
A0A1B0GTV0		MECP2	
A0A087WY32		RBBP6	
X6RLK1		EXO5	
A0A5F9ZI14		MUTYH	
K7ELH0		BCAS3	
U3KQ21		TMEM248	
A0A059RVA7		COX1	
F5H0T9		PHC1	
F8VXG1		DLX3	
A0A087X2D6		SLC11A1	
A0A343R0D3		COX1	
A0A087WTD0		NPRL3	
C9JD82		BRDT	
B4E1U1			
H0YJB8		RPS6KL1	
H0Y732		HLA-DMA	
H0YJJ7		CKB	
F8WCE3		PSMD1	
A0A2R8YDC4		EFCAB10	
F8W6Y5		AGBL3	
B4DWU6			
A0A024RBU2		U1SNRNPBP	
A0A075B7A5		LILRA4	
A0A5A4LLL0		HLA-DRB4	
H3BPK7		AARS1	
H0YMA0		SNRPA1	
G3V5F7		EVL	
A0A4P2SRU6		HLA-DRB1	
A0A024R4Q8		RPS5	
A0A0C4DGM2		ZSCAN29	
H7BZE5		BCL2L11	
E5RG96		VWDE	
A0A059QUZ1		COX1	
Q7Z3K5		DKFZp686K20196	
B3KR55			
A0A0A0MRG9		CDK5RAP2	
K7ENI5		SEH1L	
A0A0S2Z3V9		EYA4	
I3L2J5		METTL22	
E5RHX8		ENY2	
H0YES4		TCP11L1	
C9J670		ANO10	
A0A3B3IRY9		SNPH	
E9PM14		NDUFC2	
W8DTH1		TRPM8	
Q67AK4		HLA-DQB1	
I3L1P2		KIAA0753	
H0YHR6			
B4DRL0			
E7EPQ9		PPEF2	
A0A5K1VW69		MFSD4B	
E5RHH4		YIPF5	
C9JD19		DZIP1L	
K7EID6		NOL4	
A0A5H2UVT5		HLA-C	
G3V3A4		SNW1	
J3KSA5		GPS1	
E7ET48		CRYBG2	
E9PQ73		FAT3	
K7EII1		C17orf75	
B4DHF2			
H7C1P0		RFC4	
K7EJ95		SYT5	
A0A5H2UIL5		HLA-C	
E9PD92		G6PD	
M0R037		SPIB	
E9PQW7		CHEK1	
H7BXD5		GCA	
B1B1H9		FGF13	
H0YBS1		INTS8	
F8VVY5		CRADD	
C9JTT8		BET1	
H3BP24		HAUS2	
E9PMV5		SLFN13	
A0A1W2HCL8		HLA-DRB1	
C9J2C8		NR1H3	
S4R3J7		NTMT1	
A0A1W2PQP2		GOSR2	
A0A087WWR9		SLC25A30	
E9PNK1		NEU3	
F5H304		RFC5	
M0QYT5		USE1	
C9J2G7		ZNF143	
F8WEU8		RNF7	
B4DFE7			
G3V389		DNAL1	
D6RE79		MFSD10	
H3BPR3		SNX33	
F8LFR7		HLA-DQB1	
E9PSF1		RBM38	
Q5T1W1		DDX59	
A0A3B3ISN4		KMT2A	
H0YLZ0		SLC24A5	
A0A0G2JLA1		IL4R	
I3L280		URI1	
A0A1B0GV70		TEPSIN	
A0A0B4J231		IGLL5	
I3L0M9		ELOB	
E5RHL3		FADS2	
A0A0U1RQL3		KIF1B	
D6RBU7		DDR1	
F5H008		VPS33B	
E7EUL0		GALNT3	
I3L398		P4HB	
H0YJP1		GABRG3	
C9J491		KANSL3	
A0A0C4DGK3		SYNE2	
D6RDG8		SPOP	
K7EJT6		DRC3	
E5RFZ0		ASCC3	
Q5W006		IL2RA	
J3KRE9		PIK3R5	
D6RAB6		PRELID2	
B2RAU6			
